id,name,industry,primary,secondary,accent,background,text,border,cta,dark_primary,dark_bg,dark_text,mood,pairs_with_style
creative-agency-bold,Creative Agency Bold,creative-agency,#DC2626,#EF4444,#FBBF24,#FFFFFF,#1F2937,#F3F4F6,#DC2626,#F87171,#111318,#E5E7EB,bold|passionate|dynamic,"neubrutalism,glassmorphism"
creative-agency-mono,Creative Agency Monochrome,creative-agency,#18181B,#3F3F46,#EAB308,#FAFAFA,#09090B,#E4E4E7,#EAB308,#A1A1AA,#09090B,#D4D4D8,sophisticated|minimal|editorial,"dark-elegant,minimal-modern"
creative-agency-neon,Creative Agency Neon Pop,creative-agency,#D946EF,#E879F9,#06B6D4,#FDF4FF,#701A75,#F5D0FE,#D946EF,#F0ABFC,#1F0726,#E8C5F0,vibrant|playful|cutting-edge,"glassmorphism,neubrutalism"
ai-product-neural,AI Product Neural Blue,ai-product,#4F46E5,#6366F1,#06B6D4,#EEF2FF,#312E81,#C7D2FE,#06B6D4,#818CF8,#12102B,#BFC9F0,intelligent|futuristic|precise,"glassmorphism,gradient-soft"
ai-product-matrix,AI Product Matrix Green,ai-product,#059669,#10B981,#8B5CF6,#ECFDF5,#064E3B,#A7F3D0,#10B981,#34D399,#061A12,#A0E8C8,technical|innovative|advanced,"dark-elegant,minimal-modern"
ai-product-cosmic,AI Product Cosmic Purple,ai-product,#7C3AED,#A855F7,#F43F5E,#F5F3FF,#4C1D95,#DDD6FE,#A855F7,#C084FC,#150D2E,#CFC5F0,visionary|deep|transformative,"glassmorphism,dark-elegant"
social-media-vibrant,Social Media Vibrant,social-media,#E11D48,#FB7185,#8B5CF6,#FFFFFF,#1F2937,#F3F4F6,#E11D48,#FDA4AF,#18111A,#E5E7EB,vibrant|social|engaging,"gradient-soft,neubrutalism"
social-media-warm,Social Media Warm Sunset,social-media,#F97316,#FBBF24,#EC4899,#FFFBEB,#78350F,#FDE68A,#F97316,#FDBA74,#1C1108,#F0DEB0,warm|friendly|inviting,"rounded-friendly,gradient-soft"
social-media-ocean,Social Media Ocean,social-media,#0EA5E9,#38BDF8,#A855F7,#F0F9FF,#075985,#BAE6FD,#38BDF8,#7DD3FC,#081E2E,#AADAF5,connected|open|refreshing,"minimal-modern,glassmorphism"
productivity-focus,Productivity Focus Blue,productivity,#1D4ED8,#3B82F6,#10B981,#F8FAFC,#1E3A5F,#DBEAFE,#10B981,#60A5FA,#0F1A30,#D0DEF0,focused|efficient|clean,"minimal-modern,flat-corporate"
productivity-warm,Productivity Warm Amber,productivity,#D97706,#F59E0B,#6366F1,#FFFBEB,#78350F,#FDE68A,#F59E0B,#FCD34D,#1C1408,#F0DCA5,warm|motivating|productive,"rounded-friendly,flat-corporate"
productivity-dark,Productivity Dark Mode,productivity,#6366F1,#818CF8,#22D3EE,#18181B,#F1F5F9,#27272A,#22D3EE,#A5B4FC,#09090B,#E2E8F0,focused|immersive|modern,"dark-elegant,minimal-modern"
gaming-neon,Gaming Neon Cyber,gaming,#7C3AED,#A855F7,#22D3EE,#0F0F23,#F1F5F9,#1E1E3F,#22D3EE,#C084FC,#07071A,#E2E8F0,exciting|immersive|electric,"dark-elegant,glassmorphism"
gaming-fire,Gaming Fire Red,gaming,#DC2626,#EF4444,#FBBF24,#1A1A2E,#F8FAFC,#2D2D44,#FBBF24,#F87171,#0D0D18,#E8E8F0,intense|powerful|competitive,"dark-elegant,neubrutalism"
gaming-matrix,Gaming Matrix Green,gaming,#22C55E,#4ADE80,#A855F7,#0A0F0A,#E2E8F0,#1A2F1A,#4ADE80,#86EFAC,#050A05,#D0DAD0,technical|retro|immersive,"dark-elegant,glassmorphism"
luxury-ecommerce-gold,Luxury E-Commerce Gold,luxury-ecommerce,#92400E,#B45309,#1E293B,#FFFBF0,#1C1917,#E7E5E4,#B45309,#D4A053,#12100E,#D6D3D0,luxurious|premium|exclusive,"dark-elegant,minimal-modern"
luxury-ecommerce-noir,Luxury E-Commerce Noir,luxury-ecommerce,#18181B,#27272A,#C8A951,#FAFAFA,#09090B,#E4E4E7,#C8A951,#52525B,#09090B,#D4D4D8,sophisticated|elegant|exclusive,"dark-elegant,minimal-modern"
b2b-service-corp,B2B Service Corporate,b2b-service,#1E40AF,#2563EB,#059669,#F8FAFC,#0F172A,#E2E8F0,#059669,#3B82F6,#0B1022,#D0DAE8,professional|reliable|corporate,"flat-corporate,minimal-modern"
b2b-service-modern,B2B Service Modern,b2b-service,#4338CA,#6366F1,#14B8A6,#FAFAFE,#1E1B4B,#E0E7FF,#14B8A6,#818CF8,#100E28,#D0D5F0,modern|trustworthy|innovative,"minimal-modern,gradient-soft"
analytics-dashboard-blue,Analytics Dashboard Blue,analytics-dashboard,#1E40AF,#3B82F6,#10B981,#F1F5F9,#0F172A,#CBD5E1,#10B981,#60A5FA,#0B1022,#C0CAD8,analytical|precise|data-driven,"flat-corporate,minimal-modern"
analytics-dashboard-dark,Analytics Dashboard Dark,analytics-dashboard,#6366F1,#818CF8,#22D3EE,#0F172A,#F1F5F9,#1E293B,#22D3EE,#A5B4FC,#080D1A,#E2E8F0,technical|immersive|professional,"dark-elegant,glassmorphism"
financial-dashboard-trust,Financial Dashboard Trust,financial-dashboard,#1E3A5F,#2563EB,#10B981,#F8FAFC,#0F172A,#E2E8F0,#10B981,#38BDF8,#0A1528,#D0DAE8,trustworthy|stable|professional,"flat-corporate,minimal-modern"
financial-dashboard-premium,Financial Dashboard Premium,financial-dashboard,#1E293B,#334155,#C8A951,#F8FAFC,#0F172A,#E2E8F0,#C8A951,#64748B,#0A0E16,#CBD5E1,premium|sophisticated|secure,"dark-elegant,minimal-modern"
medical-app-clinical,Medical App Clinical,medical-app,#0369A1,#0EA5E9,#10B981,#F0F9FF,#0C4A6E,#BAE6FD,#0EA5E9,#38BDF8,#081E30,#B0D8F0,clinical|reliable|calming,"minimal-modern,flat-corporate"
portfolio-minimal,Portfolio Minimal,portfolio,#18181B,#3F3F46,#3B82F6,#FAFAFA,#09090B,#E4E4E7,#3B82F6,#71717A,#09090B,#D4D4D8,minimal|elegant|personal,"minimal-modern,dark-elegant"
portfolio-creative,Portfolio Creative,portfolio,#7C3AED,#A855F7,#F43F5E,#FAFAF9,#1C1917,#E7E5E4,#A855F7,#C084FC,#110D1E,#DDD6FE,creative|expressive|bold,"neubrutalism,glassmorphism"
government-official,Government Official Blue,government,#1E3A8A,#2563EB,#047857,#F8FAFC,#0F172A,#DBEAFE,#1E3A8A,#3B82F6,#0A1230,#D0DEF0,official|trustworthy|accessible,"flat-corporate,minimal-modern"
crypto-dark-neon,Crypto Dark Neon,crypto,#6366F1,#818CF8,#22D3EE,#0C0A1A,#F1F5F9,#1A1830,#22D3EE,#A5B4FC,#060510,#E2E8F0,futuristic|decentralized|bold,"dark-elegant,glassmorphism"
crypto-gold,Crypto Gold Rush,crypto,#B45309,#F59E0B,#6366F1,#0F172A,#F8FAFC,#1E293B,#F59E0B,#FBBF24,#080D16,#E8E0C8,premium|wealth|dynamic,"dark-elegant,gradient-soft"
design-system-neutral,Design System Neutral,design-system,#6366F1,#818CF8,#F43F5E,#FAFAFA,#18181B,#E5E7EB,#6366F1,#A5B4FC,#0F0F18,#D4D4D8,systematic|clean|scalable,"minimal-modern,flat-corporate"
nft-web3-cyber,NFT Web3 Cyber,nft-web3,#D946EF,#F0ABFC,#06B6D4,#0A0118,#F5F3FF,#1A0830,#06B6D4,#E879F9,#05010D,#E8E0F8,futuristic|digital|experimental,"dark-elegant,glassmorphism"
creator-economy-warm,Creator Economy Warm,creator-economy,#F97316,#FB923C,#EC4899,#FFFBEB,#431407,#FED7AA,#EC4899,#FDBA74,#1C0E04,#F0D8C0,creative|personal|engaging,"rounded-friendly,gradient-soft"
creator-economy-fresh,Creator Economy Fresh,creator-economy,#8B5CF6,#A78BFA,#22D3EE,#FAF5FF,#3B0764,#E9D5FF,#22D3EE,#C084FC,#180530,#DCC8F5,expressive|modern|vibrant,"glassmorphism,neubrutalism"
sustainability-earth,Sustainability Earth,sustainability,#166534,#22C55E,#0EA5E9,#F0FDF4,#052E16,#BBF7D0,#22C55E,#4ADE80,#051A0D,#B0E8C0,natural|sustainable|hopeful,"minimal-modern,rounded-friendly"
sustainability-ocean,Sustainability Ocean,sustainability,#0E7490,#06B6D4,#15803D,#ECFEFF,#164E63,#CFFAFE,#06B6D4,#22D3EE,#0A2830,#C0F0F5,clean|marine|responsible,"minimal-modern,gradient-soft"
remote-work-cozy,Remote Work Cozy,remote-work,#7C3AED,#A78BFA,#F59E0B,#FAF5FF,#4C1D95,#EDE9FE,#F59E0B,#C084FC,#180D2E,#DDD0F0,comfortable|flexible|connected,"rounded-friendly,gradient-soft"
mental-health-serene,Mental Health Serene,mental-health,#0D9488,#5EEAD4,#A78BFA,#F0FDFA,#115E59,#CCFBF1,#5EEAD4,#2DD4BF,#0A1E1B,#C8F0E8,serene|calming|supportive,"rounded-friendly,gradient-soft"
mental-health-lavender,Mental Health Lavender,mental-health,#7C3AED,#C4B5FD,#F0ABFC,#FAF5FF,#4C1D95,#EDE9FE,#C4B5FD,#A78BFA,#150D28,#E0D5F0,gentle|healing|peaceful,"rounded-friendly,minimal-modern"
pet-tech-playful,Pet Tech Playful,pet-tech,#F97316,#FDBA74,#22C55E,#FFF7ED,#7C2D12,#FFEDD5,#22C55E,#FB923C,#1E0D06,#F5E0C8,playful|warm|friendly,"rounded-friendly,neubrutalism"
smart-home-minimal,Smart Home Minimal,smart-home,#2563EB,#60A5FA,#10B981,#F8FAFC,#1E3A5F,#DBEAFE,#10B981,#93C5FD,#0F1830,#D0DEF0,modern|smart|connected,"minimal-modern,glassmorphism"
ev-energy-green,EV Energy Green,ev-energy,#15803D,#22C55E,#3B82F6,#F0FDF4,#052E16,#DCFCE7,#22C55E,#4ADE80,#051A0D,#C8EAD0,sustainable|innovative|clean,"minimal-modern,gradient-soft"
ev-energy-electric,EV Energy Electric,ev-energy,#2563EB,#60A5FA,#22C55E,#EFF6FF,#1E3A5F,#BFDBFE,#22C55E,#93C5FD,#0F1A30,#C0D8F0,electric|powerful|future,"glassmorphism,minimal-modern"
subscription-box-fun,Subscription Box Fun,subscription-box,#EC4899,#F9A8D4,#F59E0B,#FDF2F8,#831843,#FBCFE8,#F59E0B,#F472B6,#200D18,#F0C8E0,fun|surprising|delightful,"rounded-friendly,neubrutalism"
podcast-deep,Podcast Deep Purple,podcast,#7C3AED,#A855F7,#F97316,#F5F3FF,#4C1D95,#DDD6FE,#F97316,#C084FC,#160D2A,#D5C8F0,immersive|personal|engaging,"dark-elegant,gradient-soft"
dating-app-romantic,Dating App Romantic,dating-app,#E11D48,#FB7185,#F59E0B,#FFF1F2,#881337,#FECDD3,#FB7185,#FDA4AF,#1A0810,#F0C0C8,romantic|warm|inviting,"gradient-soft,rounded-friendly"
dating-app-modern,Dating App Modern,dating-app,#D946EF,#F0ABFC,#F43F5E,#FDF4FF,#86198F,#FAE8FF,#F43F5E,#E879F9,#1F0822,#F0D8F5,modern|bold|exciting,"glassmorphism,gradient-soft"
micro-saas-clean,Micro SaaS Clean,micro-saas,#2563EB,#93C5FD,#F59E0B,#F8FAFC,#1E3A5F,#E2E8F0,#F59E0B,#60A5FA,#0F1830,#D0DAE8,clean|focused|simple,"minimal-modern,flat-corporate"
restaurant-appetite,Restaurant Appetite,restaurant,#B91C1C,#EF4444,#F59E0B,#FFFBEB,#450A0A,#FEE2E2,#B91C1C,#F87171,#1A0808,#F0D0D0,appetizing|warm|inviting,"rounded-friendly,dark-elegant"
fitness-energy,Fitness Energy,fitness,#DC2626,#F87171,#F59E0B,#FEF2F2,#450A0A,#FECACA,#F59E0B,#F87171,#1A0808,#F0C8C8,energetic|powerful|motivating,"neubrutalism,gradient-soft"
real-estate-trust,Real Estate Trust,real-estate,#1E3A5F,#2563EB,#059669,#F8FAFC,#0F172A,#DBEAFE,#059669,#3B82F6,#0A1528,#D0DEF0,trustworthy|established|professional,"flat-corporate,minimal-modern"
travel-wanderlust,Travel Wanderlust,travel,#0EA5E9,#38BDF8,#F97316,#F0F9FF,#075985,#BAE6FD,#F97316,#7DD3FC,#081E2E,#B0D8F0,adventurous|open|inspiring,"gradient-soft,rounded-friendly"
hotel-luxury,Hotel Luxury,hotel,#78350F,#92400E,#C8A951,#FEFCE8,#1C1917,#E7E5E4,#C8A951,#A16207,#0E0D0B,#D8D5D0,luxurious|comfortable|warm,"dark-elegant,minimal-modern"
legal-authority,Legal Authority,legal,#1E3A8A,#1E40AF,#92400E,#F8FAFC,#0F172A,#CBD5E1,#1E40AF,#2563EB,#0A1230,#C0CAD8,authoritative|trustworthy|traditional,"flat-corporate,minimal-modern"
insurance-secure,Insurance Secure,insurance,#1E40AF,#3B82F6,#059669,#F8FAFC,#172554,#DBEAFE,#059669,#60A5FA,#0D1530,#D0DEF0,secure|reliable|reassuring,"flat-corporate,minimal-modern"
banking-trust,Banking Trust,banking,#1E3A5F,#1E40AF,#047857,#F8FAFC,#0F172A,#DBEAFE,#1E40AF,#2563EB,#0A1528,#D0DEF0,trustworthy|stable|secure,"flat-corporate,minimal-modern"
online-learning-engage,Online Learning Engage,online-learning,#4F46E5,#6366F1,#F59E0B,#EEF2FF,#312E81,#C7D2FE,#F59E0B,#818CF8,#12102B,#C0C8F0,engaging|accessible|inspiring,"rounded-friendly,gradient-soft"
nonprofit-heart,Nonprofit Heart,nonprofit,#0D9488,#14B8A6,#F97316,#F0FDFA,#115E59,#CCFBF1,#14B8A6,#2DD4BF,#0A1E1B,#C8F0E8,compassionate|hopeful|impactful,"rounded-friendly,minimal-modern"
music-streaming-rhythm,Music Streaming Rhythm,music-streaming,#7C3AED,#A855F7,#EC4899,#0F0720,#F5F3FF,#1A1030,#EC4899,#C084FC,#08040F,#E0D5F0,rhythmic|immersive|expressive,"dark-elegant,glassmorphism"
video-streaming-cinema,Video Streaming Cinema,video-streaming,#DC2626,#EF4444,#FBBF24,#0A0A0A,#F8FAFC,#1F1F1F,#DC2626,#F87171,#050505,#E8E8E8,cinematic|immersive|bold,"dark-elegant,minimal-modern"
job-board-professional,Job Board Professional,job-board,#1E40AF,#3B82F6,#059669,#F8FAFC,#0F172A,#E2E8F0,#059669,#60A5FA,#0B1022,#D0DAE8,professional|accessible|clean,"flat-corporate,minimal-modern"
marketplace-diverse,Marketplace Diverse,marketplace,#0891B2,#22D3EE,#F97316,#ECFEFF,#155E75,#CFFAFE,#F97316,#67E8F9,#0A2830,#C0F0F5,diverse|dynamic|open,"rounded-friendly,gradient-soft"
logistics-industrial,Logistics Industrial,logistics,#1D4ED8,#3B82F6,#F59E0B,#F8FAFC,#1E3A5F,#DBEAFE,#F59E0B,#60A5FA,#0F1A30,#D0DEF0,efficient|reliable|industrial,"flat-corporate,minimal-modern"
agri-tech-harvest,Agri Tech Harvest,agri-tech,#15803D,#22C55E,#D97706,#F0FDF4,#052E16,#DCFCE7,#22C55E,#4ADE80,#051A0D,#C8EAD0,organic|innovative|natural,"minimal-modern,rounded-friendly"
construction-steel,Construction Steel,construction,#D97706,#F59E0B,#1E3A5F,#FFFBEB,#78350F,#FDE68A,#1E3A5F,#FCD34D,#1C1408,#F0DCA0,sturdy|industrial|bold,"flat-corporate,neubrutalism"
automotive-chrome,Automotive Chrome,automotive,#18181B,#3F3F46,#DC2626,#FAFAFA,#09090B,#E4E4E7,#DC2626,#71717A,#09090B,#D4D4D8,sleek|powerful|premium,"dark-elegant,minimal-modern"
photo-studio-mono,Photo Studio Mono,photo-studio,#18181B,#404040,#E4E4E7,#FAFAFA,#0A0A0A,#D4D4D4,#18181B,#525252,#0A0A0A,#D4D4D8,artistic|clean|focused,"minimal-modern,dark-elegant"
coworking-social,Coworking Social,coworking,#8B5CF6,#A78BFA,#F97316,#FAF5FF,#3B0764,#EDE9FE,#F97316,#C084FC,#180530,#DCC8F5,social|creative|collaborative,"rounded-friendly,gradient-soft"
cleaning-service-fresh,Cleaning Service Fresh,cleaning-service,#0891B2,#22D3EE,#22C55E,#ECFEFF,#155E75,#CFFAFE,#22C55E,#67E8F9,#0A2830,#C0F0F5,clean|fresh|reliable,"rounded-friendly,flat-corporate"
home-service-trust,Home Service Trust,home-service,#1E40AF,#3B82F6,#F59E0B,#F8FAFC,#172554,#DBEAFE,#F59E0B,#60A5FA,#0D1530,#D0DEF0,trustworthy|helpful|reliable,"flat-corporate,rounded-friendly"
childcare-gentle,Childcare Gentle,childcare,#EC4899,#F9A8D4,#FBBF24,#FDF2F8,#831843,#FBCFE8,#FBBF24,#F472B6,#200D18,#F0C8E0,gentle|warm|nurturing,"rounded-friendly,gradient-soft"
elderly-care-comfort,Elderly Care Comfort,elderly-care,#0D9488,#5EEAD4,#F59E0B,#F0FDFA,#115E59,#CCFBF1,#F59E0B,#2DD4BF,#0A1E1B,#C8F0E8,comforting|accessible|caring,"rounded-friendly,flat-corporate"
clinic-professional,Clinic Professional,clinic,#0284C7,#38BDF8,#10B981,#F0F9FF,#0C4A6E,#BAE6FD,#10B981,#7DD3FC,#0A1929,#B0D8F0,professional|clinical|clean,"minimal-modern,flat-corporate"
pharmacy-health,Pharmacy Health,pharmacy,#059669,#34D399,#2563EB,#ECFDF5,#064E3B,#A7F3D0,#2563EB,#6EE7B7,#061A12,#A0E8C8,healthy|trustworthy|approachable,"flat-corporate,rounded-friendly"
dental-bright,Dental Bright,dental,#0EA5E9,#7DD3FC,#22C55E,#F0F9FF,#075985,#BAE6FD,#22C55E,#38BDF8,#081E2E,#B0D8F0,bright|clean|friendly,"rounded-friendly,minimal-modern"
veterinary-nature,Veterinary Nature,veterinary,#15803D,#4ADE80,#F97316,#F0FDF4,#052E16,#DCFCE7,#F97316,#86EFAC,#051A0D,#C8EAD0,caring|natural|warm,"rounded-friendly,flat-corporate"
florist-bloom,Florist Bloom,florist,#DB2777,#F472B6,#15803D,#FDF2F8,#831843,#FCE7F3,#15803D,#F9A8D4,#200D18,#F0C0D8,romantic|delicate|natural,"gradient-soft,rounded-friendly"
bakery-cafe-warm,Bakery Cafe Warm,bakery-cafe,#92400E,#D97706,#F59E0B,#FFFBEB,#451A03,#FDE68A,#F59E0B,#FCD34D,#1A0E04,#F0DCA0,warm|cozy|artisanal,"rounded-friendly,minimal-modern"
coffee-shop-roast,Coffee Shop Roast,coffee-shop,#78350F,#92400E,#D97706,#FEF3C7,#451A03,#FDE68A,#D97706,#B45309,#1A0E04,#F0DCA0,cozy|artisanal|rich,"dark-elegant,rounded-friendly"
brewery-winery-craft,Brewery Winery Craft,brewery-winery,#7C2D12,#B45309,#15803D,#FEF2F2,#450A0A,#F5DEB3,#15803D,#D97706,#1A0808,#E8D0A0,craft|authentic|premium,"dark-elegant,minimal-modern"
airline-sky,Airline Sky,airline,#1E40AF,#3B82F6,#F59E0B,#EFF6FF,#172554,#BFDBFE,#F59E0B,#60A5FA,#0D1530,#C0D8F0,aspirational|trustworthy|premium,"flat-corporate,minimal-modern"
news-media-bold,News Media Bold,news-media,#DC2626,#18181B,#F8FAFC,#FFFFFF,#0F172A,#E5E7EB,#DC2626,#F87171,#0A0A0A,#E5E7EB,urgent|authoritative|informative,"flat-corporate,minimal-modern"
magazine-blog-editorial,Magazine Blog Editorial,magazine-blog,#18181B,#404040,#E11D48,#FAFAFA,#09090B,#E4E4E7,#E11D48,#525252,#09090B,#D4D4D8,editorial|sophisticated|stylish,"minimal-modern,dark-elegant"
freelance-personal,Freelance Personal,freelance,#6366F1,#818CF8,#F97316,#EEF2FF,#312E81,#C7D2FE,#F97316,#A5B4FC,#12102B,#C0C8F0,personal|creative|professional,"minimal-modern,gradient-soft"
consulting-authority,Consulting Authority,consulting,#1E3A5F,#2563EB,#92400E,#F8FAFC,#0F172A,#CBD5E1,#92400E,#3B82F6,#0A1528,#C0CAD8,authoritative|strategic|premium,"flat-corporate,dark-elegant"
marketing-agency-impact,Marketing Agency Impact,marketing-agency,#DC2626,#F43F5E,#FBBF24,#FFFFFF,#1F2937,#F3F4F6,#FBBF24,#FB7185,#111318,#E5E7EB,impactful|bold|dynamic,"neubrutalism,gradient-soft"
event-management-festive,Event Management Festive,event-management,#9333EA,#A855F7,#F59E0B,#FAF5FF,#581C87,#E9D5FF,#F59E0B,#C084FC,#1A0E30,#E0D0F0,festive|exciting|organized,"gradient-soft,rounded-friendly"
conference-professional,Conference Professional,conference,#1E40AF,#6366F1,#F59E0B,#EEF2FF,#1E1B4B,#C7D2FE,#F59E0B,#818CF8,#0D0B28,#C0C8F0,professional|engaging|prestigious,"flat-corporate,gradient-soft"
membership-exclusive,Membership Exclusive,membership,#4338CA,#6366F1,#C8A951,#EEF2FF,#1E1B4B,#C7D2FE,#C8A951,#818CF8,#100E28,#C0C8F0,exclusive|premium|community,"dark-elegant,minimal-modern"
newsletter-readable,Newsletter Readable,newsletter,#18181B,#374151,#2563EB,#FAFAFA,#111827,#E5E7EB,#2563EB,#6B7280,#0A0D14,#D4D4D8,readable|clean|informative,"minimal-modern,flat-corporate"
digital-products-modern,Digital Products Modern,digital-products,#7C3AED,#A855F7,#06B6D4,#F5F3FF,#4C1D95,#DDD6FE,#06B6D4,#C084FC,#160D2A,#D5C8F0,modern|innovative|premium,"glassmorphism,gradient-soft"
sports-dynamic,Sports Dynamic,sports,#DC2626,#EF4444,#1E3A5F,#FEF2F2,#450A0A,#FECACA,#1E3A5F,#F87171,#1A0808,#F0C8C8,dynamic|competitive|energetic,"neubrutalism,gradient-soft"
museum-classic,Museum Classic,museum,#1C1917,#44403C,#92400E,#FAFAF9,#0C0A09,#E7E5E4,#92400E,#78716C,#0C0A09,#D6D3D0,classic|refined|cultural,"minimal-modern,dark-elegant"
theater-dramatic,Theater Dramatic,theater,#7F1D1D,#991B1B,#C8A951,#1A0A0A,#FEF2F2,#2D1515,#C8A951,#DC2626,#0D0505,#F0D8D8,dramatic|artistic|passionate,"dark-elegant,gradient-soft"
language-learning-global,Language Learning Global,language-learning,#2563EB,#60A5FA,#F59E0B,#EFF6FF,#1E3A5F,#BFDBFE,#F59E0B,#93C5FD,#0F1A30,#C0D8F0,global|accessible|engaging,"rounded-friendly,gradient-soft"
coding-bootcamp-terminal,Coding Bootcamp Terminal,coding-bootcamp,#22C55E,#4ADE80,#6366F1,#0F172A,#F1F5F9,#1E293B,#6366F1,#86EFAC,#080D16,#E2E8F0,technical|modern|focused,"dark-elegant,minimal-modern"
cybersecurity-shield,Cybersecurity Shield,cybersecurity,#1E3A5F,#1E40AF,#22D3EE,#0F172A,#F1F5F9,#1E293B,#22D3EE,#2563EB,#080D16,#D0DAE8,secure|vigilant|technical,"dark-elegant,flat-corporate"
dev-tools-editor,Dev Tools Editor,dev-tools,#6366F1,#818CF8,#22D3EE,#1E1E2E,#F1F5F9,#2E2E42,#22D3EE,#A5B4FC,#12121E,#E2E8F0,technical|productive|modern,"dark-elegant,minimal-modern"
biotech-molecular,Biotech Molecular,biotech,#0D9488,#14B8A6,#6366F1,#F0FDFA,#134E4A,#CCFBF1,#6366F1,#2DD4BF,#0A1E1B,#C8F0E8,scientific|innovative|precise,"minimal-modern,glassmorphism"
space-tech-cosmos,Space Tech Cosmos,space-tech,#4338CA,#6366F1,#06B6D4,#0C0A1A,#F1F5F9,#1A1830,#06B6D4,#818CF8,#060510,#E2E8F0,cosmic|futuristic|boundless,"dark-elegant,glassmorphism"
architecture-concrete,Architecture Concrete,architecture,#57534E,#78716C,#1E40AF,#FAFAF9,#1C1917,#E7E5E4,#1E40AF,#A8A29E,#0C0A09,#D6D3D0,structural|refined|material,"minimal-modern,dark-elegant"
quantum-computing-qubit,Quantum Computing Qubit,quantum-computing,#6366F1,#A855F7,#22D3EE,#0C0620,#F1F5F9,#1A1035,#22D3EE,#C084FC,#06031A,#E2E8F0,quantum|mysterious|cutting-edge,"dark-elegant,glassmorphism"
