id,name,display_font,body_font,display_weight,body_weight,style_mood,pairs_with_style,cdn_url,fallback
modern-contrast,Modern Contrast,Fraunces,Inter,700,400,modern|contrast|expressive,brand|creative|editorial,https://fonts.googleapis.com/css2?family=Fraunces:wght@700&family=Inter:wght@400&display=swap,"Georgia, serif"
news-editorial,News Editorial,Libre Baskerville,Open Sans,700,400,news|editorial|authoritative,news|media|publishing,https://fonts.googleapis.com/css2?family=Libre+Baskerville:wght@700&family=Open+Sans:wght@400&display=swap,"Georgia, serif"
elegant-transition,Elegant Transition,Crimson Pro,Outfit,600,400,elegant|transitional|versatile,blog|portfolio|editorial,https://fonts.googleapis.com/css2?family=Crimson+Pro:wght@600&family=Outfit:wght@400&display=swap,"Georgia, serif"
classic-modern,Classic Modern,EB Garamond,Source Sans 3,600,400,classic|modern|timeless,academic|publishing|legal,https://fonts.googleapis.com/css2?family=EB+Garamond:wght@600&family=Source+Sans+3:wght@400&display=swap,"Georgia, serif"
refined-authority,Refined Authority,Noto Serif,Noto Sans,700,400,refined|authoritative|international,government|institution|enterprise,https://fonts.googleapis.com/css2?family=Noto+Serif:wght@700&family=Noto+Sans:wght@400&display=swap,"Georgia, serif"
bold-editorial,Bold Editorial,Abril Fatface,Poppins,400,400,bold|editorial|dramatic,magazine|creative|fashion,https://fonts.googleapis.com/css2?family=Abril+Fatface&family=Poppins:wght@400&display=swap,"Georgia, serif"
vintage-modern,Vintage Modern,Spectral,Karla,600,400,vintage|modern|warm,blog|editorial|lifestyle,https://fonts.googleapis.com/css2?family=Spectral:wght@600&family=Karla:wght@400&display=swap,"Georgia, serif"
academic-formal,Academic Formal,Bitter,Source Sans 3,600,400,academic|formal|structured,education|research|documentation,https://fonts.googleapis.com/css2?family=Bitter:wght@600&family=Source+Sans+3:wght@400&display=swap,"Georgia, serif"
heritage-clean,Heritage Clean,Vollkorn,DM Sans,600,400,heritage|clean|dignified,cultural|museum|nonprofit,https://fonts.googleapis.com/css2?family=Vollkorn:wght@600&family=DM+Sans:wght@400&display=swap,"Georgia, serif"
sophisticated-pair,Sophisticated Pair,Cormorant,Fira Sans,600,400,sophisticated|refined|graceful,luxury|gallery|design,https://fonts.googleapis.com/css2?family=Cormorant:wght@600&family=Fira+Sans:wght@400&display=swap,"Georgia, serif"
traditional-digital,Traditional Digital,PT Serif,PT Sans,700,400,traditional|digital|balanced,corporate|news|education,https://fonts.googleapis.com/css2?family=PT+Serif:wght@700&family=PT+Sans:wght@400&display=swap,"Georgia, serif"
tech-mono,Tech Mono,Space Mono,Space Grotesk,700,400,tech|mono|experimental,dev-portfolio|tech-blog|creative-dev,https://fonts.googleapis.com/css2?family=Space+Mono:wght@700&family=Space+Grotesk:wght@400&display=swap,"Courier New, monospace"
code-centric,Code Centric,JetBrains Mono,Inter,700,400,code|developer|precise,dev-tools|documentation|ide,https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@700&family=Inter:wght@400&display=swap,"Courier New, monospace"
terminal-style,Terminal Style,Fira Code,Fira Sans,600,400,terminal|hacker|technical,dev-blog|cli-tools|open-source,https://fonts.googleapis.com/css2?family=Fira+Code:wght@600&family=Fira+Sans:wght@400&display=swap,"Courier New, monospace"
hacker-minimal,Hacker Minimal,IBM Plex Mono,IBM Plex Sans,600,400,hacker|minimal|systematic,developer|enterprise-tech|docs,https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@600&family=IBM+Plex+Sans:wght@400&display=swap,"Courier New, monospace"
retro-terminal,Retro Terminal,Share Tech Mono,Share Tech,400,400,retro|terminal|nostalgic,retro-tech|gaming|cyberpunk,https://fonts.googleapis.com/css2?family=Share+Tech+Mono&family=Share+Tech&display=swap,"Courier New, monospace"
dev-tools,Dev Tools,Source Code Pro,Source Sans 3,600,400,dev|tools|readable,documentation|api-docs|dev-portal,https://fonts.googleapis.com/css2?family=Source+Code+Pro:wght@600&family=Source+Sans+3:wght@400&display=swap,"Courier New, monospace"
crypto-tech,Crypto Tech,Roboto Mono,Roboto,500,400,crypto|tech|data,fintech|crypto|blockchain,https://fonts.googleapis.com/css2?family=Roboto+Mono:wght@500&family=Roboto:wght@400&display=swap,"Courier New, monospace"
data-display,Data Display,Overpass Mono,Overpass,600,400,data|display|functional,analytics|monitoring|devops,https://fonts.googleapis.com/css2?family=Overpass+Mono:wght@600&family=Overpass:wght@400&display=swap,"Courier New, monospace"
brutalist-heavy,Brutalist Heavy,Anton,Roboto,400,400,brutalist|heavy|raw,brutalist|punk|experimental,https://fonts.googleapis.com/css2?family=Anton&family=Roboto:wght@400&display=swap,"system-ui, sans-serif"
retro-bold,Retro Bold,Bebas Neue,Open Sans,400,400,retro|bold|cinematic,poster|event|entertainment,https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Open+Sans:wght@400&display=swap,"system-ui, sans-serif"
impact-display,Impact Display,Oswald,Lato,600,400,impact|display|condensed,sports|news|media,https://fonts.googleapis.com/css2?family=Oswald:wght@600&family=Lato:wght@400&display=swap,"system-ui, sans-serif"
art-deco,Art Deco,Poiret One,Raleway,400,400,art-deco|elegant|vintage,luxury|art|fashion,https://fonts.googleapis.com/css2?family=Poiret+One&family=Raleway:wght@400&display=swap,"system-ui, sans-serif"
futuristic-display,Futuristic Display,Orbitron,Exo 2,700,400,futuristic|sci-fi|tech,sci-fi|gaming|tech,https://fonts.googleapis.com/css2?family=Orbitron:wght@700&family=Exo+2:wght@400&display=swap,"system-ui, sans-serif"
playful-display,Playful Display,Fredoka,Nunito,600,400,playful|fun|bouncy,kids|education|casual,https://fonts.googleapis.com/css2?family=Fredoka:wght@600&family=Nunito:wght@400&display=swap,"system-ui, sans-serif"
punk-attitude,Punk Attitude,Rubik Mono One,Rubik,400,400,punk|bold|attitude,music|entertainment|streetwear,https://fonts.googleapis.com/css2?family=Rubik+Mono+One&family=Rubik:wght@400&display=swap,"system-ui, sans-serif"
gaming-bold,Gaming Bold,Teko,Barlow,600,400,gaming|bold|energetic,gaming|esports|entertainment,https://fonts.googleapis.com/css2?family=Teko:wght@600&family=Barlow:wght@400&display=swap,"system-ui, sans-serif"
cyberpunk-neon,Cyberpunk Neon,Press Start 2P,VT323,400,400,cyberpunk|pixel|retro,gaming|retro|pixel-art,https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&display=swap,"Courier New, monospace"
retro-pixel,Retro Pixel,Silkscreen,Inter,400,400,retro|pixel|nostalgic,indie-game|retro|creative,https://fonts.googleapis.com/css2?family=Silkscreen&family=Inter:wght@400&display=swap,"system-ui, sans-serif"
handwritten-casual,Handwritten Casual,Caveat,Inter,700,400,handwritten|casual|personal,blog|personal|creative,https://fonts.googleapis.com/css2?family=Caveat:wght@700&family=Inter:wght@400&display=swap,"system-ui, sans-serif"
creative-brush,Creative Brush,Satisfy,Lato,400,400,creative|brush|artistic,creative|portfolio|art,https://fonts.googleapis.com/css2?family=Satisfy&family=Lato:wght@400&display=swap,"system-ui, sans-serif"
kawaii-cute,Kawaii Cute,Baloo 2,Nunito,600,400,kawaii|cute|cheerful,kids|kawaii|casual,https://fonts.googleapis.com/css2?family=Baloo+2:wght@600&family=Nunito:wght@400&display=swap,"system-ui, sans-serif"
sci-fi-clean,Sci-Fi Clean,Rajdhani,Inter,600,400,sci-fi|clean|futuristic,tech|sci-fi|dashboard,https://fonts.googleapis.com/css2?family=Rajdhani:wght@600&family=Inter:wght@400&display=swap,"system-ui, sans-serif"
