id,name,name_ko,category,description,css_variables,suitable_industries,avoid_industries,pairs_with_styles,complexity
kinetic-typography,Kinetic Typography,키네틱 타이포그래피,modern,"Typography-driven design where text itself is the primary visual element with motion and scale.","font-size:clamp(3rem|8vw|8rem);font-weight:900;letter-spacing:-0.04em;line-height:0.9;mix-blend-mode:difference","creative-agency,portfolio,entertainment,media","healthcare,fintech",typographic|brutalism|parallax-depth,high
parallax-depth,Parallax Depth,패럴랙스 뎁스,modern,"Multi-layer scrolling with different speeds creating immersive depth and spatial experiences.","transform:translate3d(0|0|0);perspective:1000px;will-change:transform;transform-style:preserve-3d;backface-visibility:hidden","creative-agency,portfolio,entertainment,real-estate","ecommerce,dashboard-dense",3d-cards|floating-ui|kinetic-typography,high
morphing-shapes,Morphing Shapes,모핑 셰이프,modern,"Organic blob-like shapes that animate and morph creating dynamic fluid backgrounds.","border-radius:30% 70% 70% 30% / 30% 30% 70% 70%;animation:morph 8s ease-in-out infinite;filter:blur(0);background:linear-gradient(45deg|#405de6|#833ab4)","creative-agency,ai-product,portfolio","healthcare,legal,government",liquid-design|aurora-ui|organic,high
liquid-design,Liquid Design,리퀴드 디자인,modern,"Fluid responsive layouts with smooth transitions and water-like motion effects throughout.","transition:all 0.6s cubic-bezier(0.23|1|0.32|1);border-radius:50%;overflow:hidden;transform:scale(1);animation:liquid 6s ease infinite","creative-agency,portfolio,entertainment","fintech,legal",morphing-shapes|organic|soft-gradient,high
3d-cards,3D Cards,3D 카드,modern,"Card components with perspective transforms and hover-triggered 3D rotation effects.","transform:perspective(1000px) rotateX(0) rotateY(0);transition:transform 0.5s ease;box-shadow:0 25px 50px rgba(0|0|0|0.15);border-radius:16px;transform-style:preserve-3d","ecommerce,portfolio,saas,education","accessibility-first,newspaper",floating-ui|bento-grid|parallax-depth,medium
minimalism,Minimalism,미니멀리즘,classic,"Stripped-down design focusing on essential elements with maximum whitespace and restrained color.","max-width:680px;margin:0 auto;color:#1a1a1a;font-family:system-ui|-apple-system;line-height:1.7;letter-spacing:0.01em","portfolio,saas,fintech,luxury,education","gaming,entertainment",whitespace-heavy|swiss-design|typographic,low
swiss-design,Swiss Design,스위스 디자인,classic,"International typographic style with strong grids mathematical precision and sans-serif type.","font-family:Helvetica Neue|Arial|sans-serif;display:grid;grid-template-columns:repeat(12|1fr);gap:20px;font-weight:700;text-transform:uppercase","corporate,fintech,education,portfolio","gaming,nightlife",grid-strict|minimalism|typographic,medium
corporate-clean,Corporate Clean,코퍼레이트 클린,classic,"Professional polished design with clear hierarchy neutral colors and trustworthy appearance.","font-family:Inter|system-ui;color:#1e293b;background:#f8fafc;border:1px solid #e2e8f0;border-radius:8px;box-shadow:0 1px 3px rgba(0|0|0|0.08)","fintech,healthcare,saas,enterprise,government","gaming,creative-agency",minimalism|flat-design|whitespace-heavy,low
flat-design,Flat Design,플랫 디자인,classic,"Two-dimensional design without shadows or gradients using bold colors and simple shapes.",box-shadow:none;border-radius:4px;background:#3498db;color:#ffffff;border:none;font-weight:600,"saas,education,ecommerce,startup","luxury,creative-agency",material-design|minimalism|corporate-clean,low
material-design,Material Design,머티리얼 디자인,classic,"Google's design system with subtle shadows elevation layers and meaningful motion.","box-shadow:0 2px 4px rgba(0|0|0|0.12);border-radius:8px;transition:box-shadow 0.2s;font-family:Roboto|sans-serif;letter-spacing:0.01em","saas,education,ecommerce,enterprise","luxury,creative-agency",flat-design|corporate-clean|floating-ui,medium
monochrome,Monochrome,모노크롬,classic,"Single-color palette design using only shades tints and tones of one hue for sophisticated unity.",color:#111111;background:#fafafa;border:1px solid #e0e0e0;filter:grayscale(0);accent-color:#333333,"portfolio,luxury,editorial,photography","gaming,ecommerce,children",minimalism|typographic|editorial-clean,low
whitespace-heavy,Whitespace Heavy,여백 중심,classic,"Design dominated by generous whitespace letting content breathe with ample padding and margins.","padding:clamp(2rem|5vw|6rem);margin-bottom:clamp(3rem|8vh|8rem);line-height:1.8;max-width:720px;letter-spacing:0.02em","luxury,portfolio,editorial,education","dashboard-dense,gaming",minimalism|swiss-design|scandinavian,low
grid-strict,Strict Grid,엄격한 그리드,classic,"Rigid grid-based layout with mathematical precision and consistent spacing throughout.","display:grid;grid-template-columns:repeat(12|1fr);gap:24px;align-items:start;padding:24px","corporate,fintech,news,education","creative-agency,gaming",swiss-design|typographic|editorial-clean,medium
typographic,Typographic,타이포그래픽,classic,"Typography-first design where typeface selection size and spacing drive the entire visual system.","font-family:Playfair Display|Georgia|serif;font-size:clamp(1rem|1.5vw|1.25rem);line-height:1.6;letter-spacing:-0.02em;font-feature-settings:'kern' 1|'liga' 1","editorial,portfolio,education,luxury","gaming,children",swiss-design|minimalism|editorial-clean,medium
editorial-clean,Editorial Clean,에디토리얼 클린,classic,"Clean publication-style design with clear reading hierarchy and refined serif typography.","font-family:Georgia|Times New Roman|serif;max-width:65ch;line-height:1.75;color:#2d2d2d;margin-bottom:1.5em","media,blog,education,luxury","gaming,saas",typographic|whitespace-heavy|scandinavian,low
scandinavian,Scandinavian,스칸디나비안,classic,"Nordic-inspired design with natural tones soft curves functional simplicity and warmth.","background:#f5f0eb;color:#2c2c2c;border-radius:12px;font-family:system-ui|sans-serif;padding:24px;border:1px solid #e5ddd3","lifestyle,ecommerce,wellness,portfolio","gaming,cyberpunk",minimalism|organic|warm-earth,low
japanese-minimal,Japanese Minimal,일본식 미니멀,classic,"Wabi-sabi inspired design with asymmetric balance natural textures and reverence for emptiness.","font-family:Noto Sans JP|system-ui;background:#faf8f5;color:#333;padding:clamp(2rem|6vw|8rem);border-left:2px solid #c4a882;letter-spacing:0.05em","luxury,hospitality,wellness,portfolio,food","gaming,nightlife",minimalism|whitespace-heavy|organic,medium
brutalism,Brutalism,브루탈리즘,bold,"Raw unpolished web design with bold typography harsh colors and intentionally crude aesthetics.","border:3px solid #000;font-family:monospace;font-size:clamp(1rem|3vw|2rem);background:#ff0;color:#000;text-transform:uppercase","creative-agency,art,portfolio,startup","healthcare,fintech,government",neon-brutalism|anti-design|punk,low
maximalism,Maximalism,맥시멀리즘,bold,"More-is-more approach with layered textures rich colors mixed patterns and visual abundance.","background:repeating-linear-gradient(45deg|#ff6b6b|#ff6b6b 10px|#feca57 10px|#feca57 20px);mix-blend-mode:multiply;filter:saturate(1.3);font-weight:900;text-decoration:underline wavy","creative-agency,fashion,entertainment,art","healthcare,fintech,corporate",memphis|pop-art|psychedelic,high
cyberpunk,Cyberpunk,사이버펑크,bold,"Futuristic dystopian aesthetic with neon accents on dark backgrounds glitch effects and tech motifs.","background:#0d0221;color:#00ff41;text-shadow:0 0 8px rgba(0|255|65|0.6);border:1px solid #ff00ff;font-family:JetBrains Mono|monospace;box-shadow:0 0 15px rgba(255|0|255|0.3)","gaming,entertainment,tech-startup,ai-product","healthcare,education,government",neon-glow|glitch-art|terminal-hacker,medium
vaporwave,Vaporwave,베이퍼웨이브,bold,"Retro-internet aesthetic with pastel gradients roman busts pixel art and 80s/90s nostalgia.","background:linear-gradient(180deg|#ff71ce|#01cdfe|#05ffa1);color:#b967ff;font-family:MS PGothic|monospace;text-shadow:2px 2px #ff6ac1;filter:saturate(1.5)","entertainment,art,fashion,music","healthcare,fintech,legal",y2k-aesthetic|retro-futurism|holographic,medium
retro-futurism,Retro Futurism,레트로 퓨처리즘,bold,"Past visions of the future combining vintage aesthetics with futuristic optimism and chrome.","background:linear-gradient(135deg|#2d1b69|#11998e);font-family:Orbitron|sans-serif;letter-spacing:0.1em;border:2px solid #f7971e;text-transform:uppercase","entertainment,gaming,creative-agency,media","healthcare,legal",vaporwave|neon-glow|cyberpunk,medium
memphis,Memphis,멤피스,bold,"1980s Italian design movement with bold geometric shapes primary colors squiggles and patterns.",background:#ffde59;border:4px solid #000;border-radius:0;font-weight:900;box-shadow:8px 8px 0 #000;transform:rotate(-1deg),"children,entertainment,food,creative-agency","healthcare,fintech,legal",pop-art|maximalism|y2k-aesthetic,medium
pop-art,Pop Art,팝아트,bold,"Warhol-inspired design with bold outlines halftone dots primary colors and comic-book energy.","border:4px solid #000;background:#ff3333;color:#fff000;font-family:Impact|sans-serif;font-weight:900;text-transform:uppercase;letter-spacing:0.05em","entertainment,fashion,food,retail","healthcare,fintech,government",memphis|maximalism|brutalism,medium
grunge,Grunge,그런지,bold,"Distressed worn textures with rough edges torn paper effects and underground aesthetic.","background:#1a1a1a;color:#d4c5a9;font-family:Courier New|monospace;text-shadow:1px 1px 0 rgba(0|0|0|0.8);border:2px dashed #555;filter:contrast(1.1)","music,art,portfolio,nightlife","healthcare,fintech,education",punk|glitch-art|anti-design,medium
glitch-art,Glitch Art,글리치 아트,bold,"Digital corruption aesthetic with RGB splitting distortion artifacts and broken visual effects.","text-shadow:2px 0 #ff0000|-2px 0 #00ff00;animation:glitch 0.3s infinite;clip-path:polygon(0 0|100% 0|100% 100%|0 100%);mix-blend-mode:screen;filter:contrast(1.2)","entertainment,gaming,art,creative-agency","healthcare,education,fintech",cyberpunk|neon-glow|anti-design,high
neon-brutalism,Neon Brutalism,네온 브루탈리즘,bold,"Brutalist foundations with neon color accents combining raw structure with electric vibrancy.",border:3px solid #000;background:#a6ff00;box-shadow:6px 6px 0 #000;font-family:monospace;font-weight:800;border-radius:0,"startup,creative-agency,portfolio,art","healthcare,fintech,government",brutalism|punk|pop-art,low
anti-design,Anti-Design,안티 디자인,bold,"Deliberately breaking design conventions with clashing elements misalignment and visual chaos.","transform:rotate(-2deg);font-size:clamp(0.8rem|4vw|3rem);mix-blend-mode:difference;border:none;cursor:crosshair;overflow:visible","art,creative-agency,fashion,portfolio","healthcare,fintech,government,education",brutalism|glitch-art|punk,medium
acid-graphics,Acid Graphics,애시드 그래픽스,bold,"Rave culture inspired visuals with warped typography chromatic aberration and psychedelic motifs.","filter:hue-rotate(90deg) saturate(2);background:linear-gradient(to bottom|#000|#1a0033);color:#39ff14;font-family:monospace;text-shadow:0 0 12px currentColor","music,entertainment,art,nightlife","healthcare,education,government",psychedelic|cyberpunk|neon-glow,high
y2k-aesthetic,Y2K Aesthetic,Y2K 에스테틱,bold,"Year 2000 digital nostalgia with chrome effects bubble shapes translucency and techno-optimism.","background:linear-gradient(135deg|#c0c0c0|#e8e8e8|#c0c0c0);border:2px solid #87ceeb;border-radius:20px;font-family:Tahoma|sans-serif;box-shadow:inset 0 2px 4px rgba(255|255|255|0.8)","fashion,entertainment,retail,creative-agency","healthcare,fintech,legal",vaporwave|holographic|memphis,medium
psychedelic,Psychedelic,사이키델릭,bold,"Mind-bending visuals with swirling patterns extreme color saturation and optical illusions.","background:conic-gradient(#ff0055|#ff8800|#ffff00|#00ff55|#0088ff|#8800ff|#ff0055);animation:spin 10s linear infinite;filter:saturate(2) contrast(1.2);mix-blend-mode:hard-light","entertainment,music,art,nightlife","healthcare,fintech,education,government",acid-graphics|maximalism|vaporwave,high
punk,Punk,펑크,bold,"DIY cut-and-paste aesthetic with ransom-note typography safety pins and rebellious energy.","font-family:Courier New|monospace;transform:rotate(-1deg) skew(-1deg);border:2px solid #ff0033;background:#1a1a1a;color:#ff0033;text-decoration:line-through","music,art,fashion,nightlife","healthcare,fintech,government,education",brutalism|grunge|anti-design,low
neumorphism,Neumorphism,뉴모피즘,soft,"Soft extruded UI elements that appear to push out from the background using subtle shadow pairs.",background:#e0e5ec;box-shadow:8px 8px 16px #b8bec7|-8px -8px 16px #ffffff;border-radius:16px;border:none;color:#6b7280,"saas,wellness,portfolio,lifestyle","ecommerce,dashboard-dense,accessibility-first",claymorphism|soft-gradient|rounded-friendly,medium
claymorphism,Claymorphism,클레이모피즘,soft,"3D clay-like UI elements with inflated appearance inner shadows and playful dimensional quality.","background:linear-gradient(135deg|#f5f7fa|#c3cfe2);border-radius:24px;box-shadow:8px 8px 16px rgba(0|0|0|0.1)|inset -4px -4px 8px rgba(0|0|0|0.05)|inset 4px 4px 8px rgba(255|255|255|0.9);border:none","children,education,lifestyle,wellness","fintech,legal,government",neumorphism|rounded-friendly|cotton-candy,medium
organic,Organic,오가닉,soft,"Natural freeform shapes with earth-tone palettes irregular curves and nature-derived patterns.","border-radius:30% 70% 60% 40% / 50% 40% 70% 50%;background:#f4ede4;color:#3d3027;font-family:Georgia|serif;padding:clamp(1.5rem|4vw|3rem);border:1px solid #d4c4b0","wellness,food,lifestyle,beauty,cosmetics","fintech,gaming,tech",nature-inspired|warm-earth|scandinavian,medium
pastel-dream,Pastel Dream,파스텔 드림,soft,"Soft muted color palette with gentle gradients and dreamy light-filled atmosphere.","background:linear-gradient(135deg|#ffecd2|#fcb69f);color:#5c4033;border-radius:20px;box-shadow:0 4px 20px rgba(252|182|159|0.3);font-family:Quicksand|sans-serif","lifestyle,beauty,wedding,children,education","fintech,gaming,tech",soft-gradient|cotton-candy|rounded-friendly,low
watercolor,Watercolor,수채화,soft,"Paint-bleed effects with soft edges color washes and artistic hand-painted quality.","background:radial-gradient(ellipse|rgba(173|216|230|0.4)|rgba(255|182|193|0.3)|transparent);filter:blur(0.5px);mix-blend-mode:multiply;opacity:0.9;border-radius:50% 40% 60% 50%","art,wedding,lifestyle,beauty,portfolio","fintech,gaming,tech",hand-drawn|pastel-dream|organic,high
soft-gradient,Soft Gradient,소프트 그라디언트,soft,"Gentle subtle gradients with smooth color transitions creating calm and approachable interfaces.","background:linear-gradient(135deg|#667eea 0%|#764ba2 100%);border-radius:16px;color:#ffffff;box-shadow:0 4px 20px rgba(102|126|234|0.25);transition:all 0.3s ease","saas,wellness,education,lifestyle,ecommerce","government,legal",glassmorphism|pastel-dream|aurora-ui,low
rounded-friendly,Rounded Friendly,라운드 프렌들리,soft,"Extra-rounded corners and circular elements creating playful approachable and warm interfaces.","border-radius:9999px;padding:12px 24px;background:#6366f1;color:#ffffff;font-weight:600;box-shadow:0 4px 14px rgba(99|102|241|0.3)","children,education,lifestyle,wellness,saas","fintech,legal,government",claymorphism|pastel-dream|cotton-candy,low
cotton-candy,Cotton Candy,코튼 캔디,soft,"Ultra-soft pink and blue palette with fluffy cloud-like elements and whimsical lightness.","background:linear-gradient(135deg|#fbc2eb|#a6c1ee);border-radius:24px;color:#4a3f6b;box-shadow:0 8px 30px rgba(251|194|235|0.3);font-family:Quicksand|sans-serif","children,beauty,wedding,lifestyle","fintech,legal,government,gaming",pastel-dream|rounded-friendly|claymorphism,low
nature-inspired,Nature Inspired,자연 영감,soft,"Design drawing from natural elements with earth tones leaf shapes and organic textures.","background:#f0ebe3;color:#3c5233;border:1px solid #a8b5a0;border-radius:12px;font-family:Lora|Georgia|serif;box-shadow:0 2px 8px rgba(60|82|51|0.1)","wellness,food,hospitality,real-estate,travel","gaming,tech,fintech",organic|warm-earth|scandinavian,low
hand-drawn,Hand Drawn,핸드 드로잉,soft,"Sketch-like quality with wobbly lines imperfect shapes and illustration-driven visual language.",border:2px solid #333;border-radius:255px 15px 225px 15px / 15px 225px 15px 255px;font-family:Caveat|cursive;background:#fffef5;box-shadow:2px 3px 0 #333,"children,education,portfolio,creative-agency,food","fintech,corporate,legal",watercolor|organic|cozy-comfort,medium
warm-earth,Warm Earth,웜 어스,soft,"Rich earth-toned palette with terracotta amber and olive creating grounded warm aesthetics.","background:#f5ebe0;color:#5c4033;border:1px solid #c8a882;border-radius:8px;font-family:DM Serif Display|Georgia|serif;accent-color:#bc6c25","hospitality,food,wellness,real-estate,lifestyle","gaming,tech,cyberpunk",organic|nature-inspired|scandinavian,low
cozy-comfort,Cozy Comfort,코지 컴포트,soft,"Warm inviting design evoking comfort with soft textures rounded shapes and homey color palettes.",background:#fdf6ee;color:#4a3728;border-radius:16px;font-family:Nunito|sans-serif;box-shadow:0 4px 12px rgba(74|55|40|0.08);padding:24px;border:1px solid #e8d5c0,"food,lifestyle,hospitality,wellness,children","gaming,tech,fintech",warm-earth|rounded-friendly|nature-inspired,low
skeuomorphism,Skeuomorphism,스큐어모피즘,specialty,"Real-world material mimicry with realistic textures shadows gradients and physical metaphors.","background:linear-gradient(180deg|#f7f7f7|#d7d7d7);border:1px solid #aaa;box-shadow:inset 0 1px 0 rgba(255|255|255|0.8)|0 2px 4px rgba(0|0|0|0.2);border-radius:8px;text-shadow:0 1px 0 rgba(255|255|255|0.8)","education,entertainment,utility,creative-agency","startup,ai-product",material-design|3d-cards|neumorphism,high
editorial-magazine,Editorial Magazine,에디토리얼 매거진,specialty,"Magazine-style layout with dramatic typography pull quotes and sophisticated image treatment.","font-family:Playfair Display|Georgia|serif;font-size:clamp(2rem|5vw|4rem);line-height:1.2;column-count:2;column-gap:40px;letter-spacing:-0.03em","media,fashion,luxury,editorial,blog","saas,gaming",typographic|editorial-clean|whitespace-heavy,medium
dashboard-dense,Dashboard Dense,대시보드 덴스,specialty,"Information-rich interfaces optimized for data density with compact spacing and efficient layouts.","display:grid;grid-template-columns:repeat(auto-fill|minmax(280px|1fr));gap:12px;font-size:13px;font-family:Inter|system-ui;padding:12px;line-height:1.4","fintech,saas,enterprise,analytics,healthcare","creative-agency,portfolio",bento-grid|data-viz-first|corporate-clean,medium
data-viz-first,Data Viz First,데이터 비즈 퍼스트,specialty,"Design centered around data visualization with chart-optimized layouts and analytical color schemes.","font-family:IBM Plex Sans|system-ui;color:#334155;background:#f1f5f9;stroke-width:2;fill:none;stroke-linecap:round;font-variant-numeric:tabular-nums","analytics,fintech,healthcare,saas,enterprise","fashion,entertainment,children",dashboard-dense|corporate-clean|minimalism,medium
terminal-hacker,Terminal Hacker,터미널 해커,specialty,"Command-line inspired interface with monospace fonts dark backgrounds and green-on-black text.","font-family:JetBrains Mono|Fira Code|monospace;background:#0c0c0c;color:#00ff41;line-height:1.5;letter-spacing:0.05em;border:1px solid #1a3a1a;text-shadow:0 0 5px rgba(0|255|65|0.3)","developer-tools,ai-product,cybersecurity,education","fashion,children,hospitality",cyberpunk|neon-glow|dark-mode-first,low
retro-pixel,Retro Pixel,레트로 픽셀,specialty,"8-bit and 16-bit gaming aesthetic with pixel art chunky pixels and nostalgic game interfaces.",font-family:Press Start 2P|monospace;image-rendering:pixelated;background:#2c2137;color:#f0d988;border:4px solid #f0d988;box-shadow:4px 4px 0 #000;letter-spacing:0.1em,"gaming,entertainment,children,education","fintech,healthcare,luxury",y2k-aesthetic|memphis|punk,medium
luxury-minimal,Luxury Minimal,럭셔리 미니멀,specialty,"High-end minimalism with premium feel using gold accents fine typography and lavish whitespace.","font-family:Didot|Bodoni MT|Georgia|serif;letter-spacing:0.2em;color:#1a1a1a;background:#faf9f6;border-bottom:1px solid #c9b58b;text-transform:uppercase;font-weight:300","luxury,fashion,hospitality,real-estate,jewelry","gaming,children,tech",minimalism|whitespace-heavy|monochrome,medium
dark-mode-first,Dark Mode First,다크 모드 퍼스트,specialty,"Design built primarily for dark backgrounds with optimized contrast and reduced eye strain.",background:#0f172a;color:#e2e8f0;border:1px solid #1e293b;box-shadow:0 4px 20px rgba(0|0|0|0.4);accent-color:#818cf8;border-radius:12px,"developer-tools,ai-product,saas,gaming,entertainment","children,wedding",terminal-hacker|ai-native|cyberpunk,low
accessibility-first,Accessibility First,접근성 퍼스트,specialty,"WCAG AAA compliant design with high contrast clear focus states and screen-reader optimized markup.","color:#000000;background:#ffffff;font-size:clamp(1rem|1.2vw|1.25rem);line-height:1.8;outline:3px solid #0000ff;outline-offset:2px;font-family:Atkinson Hyperlegible|system-ui","government,healthcare,education,enterprise,fintech","creative-agency,gaming",high-contrast|corporate-clean|flat-design,medium
high-contrast,High Contrast,하이 콘트라스트,specialty,"Maximum contrast design with stark black-white palette and bold color accents for visibility.",color:#000000;background:#ffffff;border:3px solid #000000;font-weight:700;font-size:1.125rem;letter-spacing:0.02em,"government,healthcare,education,accessibility","creative-agency,luxury,fashion",accessibility-first|brutalism|monochrome,low
newspaper,Newspaper,뉴스페이퍼,specialty,"Traditional broadsheet layout with multi-column text serif headlines and ruled dividers.","font-family:Times New Roman|Georgia|serif;column-count:3;column-gap:30px;column-rule:1px solid #ccc;line-height:1.55;color:#1a1a1a;text-align:justify","news,media,blog,editorial","gaming,saas,ai-product",editorial-clean|typographic|grid-strict,medium
blueprint,Blueprint,블루프린트,specialty,"Technical drawing aesthetic with grid backgrounds cyan-on-blue palette and engineering precision.","background:#1e3a5f;color:#87ceeb;font-family:Courier New|monospace;border:1px solid rgba(135|206|235|0.3);background-image:linear-gradient(rgba(135|206|235|0.1) 1px|transparent 1px)|linear-gradient(90deg|rgba(135|206|235|0.1) 1px|transparent 1px);background-size:20px 20px","architecture,engineering,developer-tools,education","fashion,hospitality,children",wireframe-live|terminal-hacker|grid-strict,medium
wireframe-live,Wireframe Live,와이어프레임 라이브,specialty,"Functional interface styled as a living wireframe with sketch-like borders and placeholder aesthetics.","border:2px dashed #999;border-radius:4px;font-family:Balsamiq Sans|Comic Sans MS|cursive;background:#ffffff;color:#333;box-shadow:none;padding:16px","developer-tools,education,portfolio,startup","luxury,fashion,hospitality",blueprint|hand-drawn|flat-design,low
