id,name,name_ko,recommended_styles,recommended_colors,recommended_fonts,anti_patterns,data_density,key_principles
fintech,Fintech,핀테크,"minimalism,glassmorphism,flat-design,mesh-gradient","fintech-dark-premium,fintech-neon,fintech-forest","modern-geometric,clean-sans,tech-mono",playful-illustrations|low-contrast-numbers|ambiguous-icons|slow-animations,high,trust-through-clarity; real-time-feedback; secure-feel; precision-typography; progressive-complexity
social-media,Social Media,소셜 미디어,"flat-design,material-design,glassmorphism,minimalism","social-media-vibrant,social-media-warm,social-media-ocean","rounded-soft,modern-geometric,playful-sans",information-overload|no-empty-states|tiny-touch-targets|complex-onboarding,medium,content-first; thumb-friendly; instant-feedback; addictive-patterns; identity-expression
productivity,Productivity,생산성 도구,"minimalism,flat-design,material-design,neumorphism","productivity-focus,productivity-warm,productivity-dark","clean-sans,modern-geometric,playful-sans",decorative-elements|aggressive-colors|complex-menus|animation-heavy,high,reduce-friction; keyboard-first; customizable-density; consistent-patterns; zero-distraction
design-system,Design System,디자인 시스템,"minimalism,flat-design,material-design",design-system-neutral,"clean-sans,tech-mono,modern-geometric",inconsistent-spacing|decorative-fonts|arbitrary-colors|undocumented-patterns,high,consistency-is-king; token-driven; composable-components; documented-decisions; version-controlled
ai-product,AI Product,AI 제품,"glassmorphism,mesh-gradient,minimalism,aurora-ui,dark-mode-first","ai-product-neural,ai-product-matrix,ai-product-cosmic","modern-geometric,tech-mono,clean-sans",retro-design|heavy-skeuomorphism|static-feel|cluttered-dashboards,medium,intelligent-defaults; transparent-process; progressive-results; ambient-feedback; trust-through-explanation
nft-web3,NFT/Web3,NFT/웹3,"cyberpunk,glassmorphism,mesh-gradient,neon-glow,dark-mode-first",nft-web3-cyber,"impact-display,tech-mono,modern-geometric",corporate-conservative|light-only|traditional-layout|stock-photography,medium,community-identity; wallet-first; provenance-clarity; dynamic-visuals; decentralized-ethos
creator-economy,Creator Economy,크리에이터 이코노미,"glassmorphism,minimalism,flat-design,mesh-gradient","creator-economy-warm,creator-economy-fresh","rounded-soft,modern-geometric,impact-display",enterprise-complexity|monochrome-only|dense-tables|formal-tone,low,creator-personality; monetization-clarity; audience-first; easy-customization; visual-brand
sustainability,Sustainability,지속가능성/ESG,"minimalism,organic,flat-design,warm-earth","sustainability-earth,sustainability-ocean","playful-sans,modern-geometric,rounded-soft",aggressive-neon|dark-heavy|industrial-feel|disposable-aesthetic,medium,earth-tones; natural-imagery; transparent-impact; hopeful-tone; data-backed-claims
remote-work,Remote Work,원격 근무,"minimalism,flat-design,glassmorphism,material-design",remote-work-cozy,"modern-geometric,clean-sans,playful-sans",information-overload|always-on-indicators|complex-settings|cold-sterile,medium,async-first; presence-without-pressure; organized-channels; minimal-notifications; human-connection
mental-health,Mental Health,정신 건강,"neumorphism,minimalism,organic,hand-drawn","mental-health-serene,mental-health-lavender","rounded-soft,playful-sans,modern-geometric",aggressive-red|harsh-contrast|clinical-sterile|gamification-heavy,low,calming-first; judgment-free; gentle-onboarding; breathing-room; safe-space-feel
pet-tech,Pet Tech,펫테크,"flat-design,minimalism,hand-drawn,rounded-friendly",pet-tech-playful,"rounded-soft,playful-sans,modern-geometric",clinical-feel|monochrome|harsh-angles|complex-data-tables,medium,warmth>efficiency; pet-personality; visual-delight; simple-tracking; community-feel
smart-home,Smart Home,스마트홈/IoT,"glassmorphism,dark-mode-first,minimalism,flat-design",smart-home-minimal,"modern-geometric,clean-sans,tech-mono",cluttered-controls|inconsistent-states|tiny-touch-targets|retro-design,medium,glanceable-status; one-tap-control; ambient-awareness; consistent-device-ui; real-time-feedback
ev-energy,EV/Energy,EV/충전,"minimalism,glassmorphism,flat-design,mesh-gradient","ev-energy-green,ev-energy-electric","modern-geometric,clean-sans,tech-mono",retro-aesthetic|warm-tones-only|complex-charts|ornamental-design,medium,real-time-status; range-clarity; eco-indicators; map-integration; charging-simplicity
subscription-box,Subscription Box,구독 박스,"flat-design,minimalism,hand-drawn",subscription-box-fun,"rounded-soft,playful-sans,impact-display",enterprise-seriousness|data-heavy|monochrome|complex-pricing,low,unboxing-excitement; visual-preview; flexible-plans; surprise-delight; easy-management
podcast,Podcast,팟캐스트,"minimalism,flat-design,dark-mode-first,glassmorphism",podcast-deep,"modern-geometric,rounded-soft,playful-sans",cluttered-player|tiny-controls|complex-navigation|information-overload,low,audio-first; discoverable-content; minimal-player; episode-hierarchy; seamless-playback
dating-app,Dating App,데이팅 앱,"glassmorphism,mesh-gradient,flat-design,minimalism","dating-app-romantic,dating-app-modern","rounded-soft,modern-geometric,playful-sans",clinical-ui|aggressive-monetization-ui|complex-profiles|cold-colors,low,warmth>efficiency; profile-impact; swipe-friendly; safety-signals; authentic-feel
micro-credentials,Micro Credentials,마이크로자격증,"flat-design,minimalism,material-design","analytics-dashboard-blue,crypto-gold,home-service-trust","modern-geometric,clean-sans,playful-sans",playful-overload|complex-navigation|inconsistent-badges|dark-mode-only,medium,achievement-visibility; progress-clarity; credential-value; structured-paths; verifiable-trust
knowledge-base,Knowledge Base,나레지베이스,"minimalism,flat-design,material-design","design-system-neutral,analytics-dashboard-blue,micro-saas-clean","clean-sans,playful-sans,tech-mono",decorative-elements|complex-animations|hidden-search|poor-hierarchy,high,search-first; scannable-headings; clear-hierarchy; interlinked-content; version-clarity
hyperlocal,Hyperlocal,하이퍼로컬,"flat-design,minimalism,material-design","creator-economy-warm,ev-energy-green","rounded-soft,playful-sans,modern-geometric",generic-stock|global-feel|complex-filters|corporate-tone,medium,location-first; community-trust; real-time-relevance; simple-discovery; neighborhood-identity
beauty-spa,Beauty/Spa,뷰티/스파,"minimalism,neumorphism,glassmorphism,editorial-magazine",crypto-gold,"editorial-serif,modern-geometric,impact-display",harsh-neon|industrial-feel|data-heavy|aggressive-cta,low,sensory-appeal; aspirational-imagery; soft-palette; booking-simplicity; before-after-clarity
luxury-brand,Luxury Brand,럭셔리 브랜드,"minimalism,editorial-magazine,luxury-minimal","luxury-ecommerce-noir,luxury-ecommerce-gold,hotel-luxury","impact-display,editorial-serif,modern-geometric",discount-banners|cluttered-layout|cheap-fonts|bright-neon,low,less-is-more; heritage-storytelling; typographic-excellence; curated-imagery; sensory-digital
restaurant,Restaurant,레스토랑,"minimalism,editorial-magazine,warm-earth,hand-drawn",restaurant-appetite,"editorial-serif,playful-sans,impact-display",stock-food-photos|complex-menus|auto-play-music|tiny-text,low,appetite-appeal; menu-clarity; reservation-ease; atmosphere-through-design; mobile-optimized
fitness,Fitness,피트니스,"flat-design,minimalism,high-contrast,mesh-gradient","fitness-energy,productivity-dark,gaming-neon","modern-geometric,impact-display,clean-sans",passive-imagery|muted-palette|complex-signup|serif-heavy,medium,motivation-through-design; progress-tracking; bold-energy; action-oriented-cta; community-proof
real-estate,Real Estate,부동산,"minimalism,flat-design,material-design,glassmorphism",real-estate-trust,"modern-geometric,playful-sans,clean-sans",flashy-animations|neon-colors|cluttered-listings|tiny-photos,high,photo-first; search-driven; map-integration; trust-signals; comparison-ease
travel,Travel,여행,"minimalism,glassmorphism,mesh-gradient,parallax-depth",travel-wanderlust,"modern-geometric,playful-sans,rounded-soft",text-heavy|corporate-blandness|tiny-thumbnails|complex-booking,medium,destination-immersion; visual-storytelling; date-picker-ease; price-transparency; inspiration>information
hotel,Hotel,호텔,"minimalism,editorial-magazine,glassmorphism,luxury-minimal",hotel-luxury,"editorial-serif,modern-geometric,playful-sans",cluttered-rates|auto-play-video|aggressive-popups|neon-colors,low,ambiance-first; booking-simplicity; room-gallery; amenity-clarity; location-context
wedding-event,Wedding/Event,결혼/이벤트,"editorial-magazine,minimalism,neumorphism,pop-art",crypto-gold,"editorial-serif,impact-display,modern-geometric",dark-themes|industrial-feel|aggressive-colors|data-heavy,low,emotional-elegance; date-prominence; gallery-beauty; timeline-clarity; vendor-trust
legal,Legal,법률,"minimalism,flat-design,material-design,corporate-clean",legal-authority,"clean-sans,modern-geometric,playful-sans",playful-design|bright-neon|casual-fonts|heavy-animations,medium,authority-trust; clear-language; structured-content; credential-display; contact-accessibility
insurance,Insurance,보험,"flat-design,minimalism,material-design,hand-drawn",insurance-secure,"playful-sans,modern-geometric,clean-sans",complex-jargon-ui|dark-themes|aggressive-red|playful-overload,medium,trust>flash; plain-language; comparison-clarity; quote-simplicity; reassuring-tone
banking,Banking,은행,"minimalism,flat-design,material-design,corporate-clean",banking-trust,"clean-sans,modern-geometric,playful-sans",trendy-effects|neon-colors|casual-design|experimental-layout,high,security-feel; transaction-clarity; account-overview; accessibility-first; consistent-patterns
online-learning,Online Learning,온라인 학습,"flat-design,minimalism,material-design",online-learning-engage,"rounded-soft,modern-geometric,playful-sans",wall-of-text|monotone-design|complex-navigation|no-progress-indicator,medium,progress-motivation; bite-sized-modules; visual-variety; completion-reward; accessible-content
nonprofit,Nonprofit,비영리,"minimalism,flat-design,warm-earth,hand-drawn",nonprofit-heart,"playful-sans,modern-geometric,rounded-soft",corporate-coldness|aggressive-donation-pressure|dark-themes|complex-forms,low,impact-storytelling; donation-ease; transparency; emotional-connection; mission-clarity
music-streaming,Music Streaming,음악 스트리밍,"dark-mode-first,glassmorphism,minimalism,mesh-gradient",music-streaming-rhythm,"modern-geometric,clean-sans,rounded-soft",bright-white-ui|cluttered-controls|tiny-album-art|complex-menus,medium,album-art-focus; playback-simplicity; discovery-flow; queue-management; genre-identity
video-streaming,Video Streaming,비디오 스트리밍,"dark-mode-first,minimalism,parallax-depth,glassmorphism",video-streaming-cinema,"clean-sans,modern-geometric,playful-sans",bright-backgrounds|cluttered-thumbnails|complex-categories|tiny-player,medium,content-immersion; thumbnail-impact; continue-watching; minimal-chrome; binge-friendly
job-board,Job Board,채용,"flat-design,minimalism,material-design",job-board-professional,"modern-geometric,clean-sans,playful-sans",playful-design|complex-application|hidden-salary|dark-mode-only,high,search-efficiency; filter-clarity; application-simplicity; company-credibility; salary-transparency
marketplace,Marketplace,마켓플레이스,"flat-design,minimalism,material-design,glassmorphism",marketplace-diverse,"modern-geometric,playful-sans,clean-sans",cluttered-listings|hidden-pricing|complex-checkout|inconsistent-cards,high,discovery-first; trust-signals; filter-efficiency; seller-credibility; comparison-ease
logistics,Logistics,물류,"flat-design,minimalism,material-design,data-viz-first",logistics-industrial,"clean-sans,tech-mono,modern-geometric",decorative-design|complex-animations|playful-colors|serif-fonts,high,tracking-clarity; status-visibility; map-integration; eta-prominence; operational-efficiency
agri-tech,AgriTech,농업기술,"flat-design,minimalism,warm-earth,data-viz-first",agri-tech-harvest,"playful-sans,modern-geometric,clean-sans",urban-neon|dark-heavy|complex-interfaces|abstract-imagery,medium,field-data-clarity; weather-integration; seasonal-awareness; offline-friendly; practical-simplicity
construction,Construction,건설,"flat-design,material-design,minimalism",construction-steel,"modern-geometric,clean-sans,playful-sans",delicate-design|pastel-colors|complex-animations|thin-fonts,medium,project-timeline; safety-visibility; progress-tracking; document-access; field-friendly
automotive,Automotive,자동차,"minimalism,dark-mode-first,glassmorphism",automotive-chrome,"modern-geometric,impact-display,clean-sans",cluttered-specs|retro-web|cheap-gradients|playful-fonts,medium,vehicle-showcase; configurator-flow; spec-clarity; test-drive-cta; premium-feel
photo-studio,Photo Studio,사진 스튜디오,"minimalism,editorial-magazine,dark-mode-first",photo-studio-mono,"editorial-serif,modern-geometric,impact-display",busy-backgrounds|competing-elements|heavy-text|neon-overlays,low,images-speak; minimal-chrome; gallery-flow; portfolio-impact; booking-ease
coworking,Coworking,코워킹,"minimalism,flat-design,glassmorphism",coworking-social,"modern-geometric,rounded-soft,playful-sans",corporate-coldness|complex-pricing|dark-only|heavy-stock-photos,low,space-showcase; pricing-transparency; community-vibe; booking-ease; location-clarity
cleaning-service,Cleaning,청소 서비스,"flat-design,minimalism,rounded-friendly,hand-drawn",cleaning-service-fresh,"rounded-soft,playful-sans,modern-geometric",dark-themes|complex-ui|aggressive-design|tiny-text,low,trust-signals; booking-simplicity; pricing-clarity; before-after; service-checklist
home-service,Home Service,가정 서비스,"flat-design,minimalism,material-design,rounded-friendly",home-service-trust,"rounded-soft,playful-sans,modern-geometric",complex-forms|dark-themes|aggressive-animations|corporate-feel,low,service-clarity; instant-booking; trust-badges; provider-profiles; pricing-upfront
childcare,Childcare,보육,"neumorphism,hand-drawn,minimalism,rounded-friendly",childcare-gentle,"rounded-soft,playful-sans,modern-geometric",dark-themes|aggressive-design|complex-navigation|adult-centric,low,safety-first; warm-welcoming; parent-trust; age-appropriate; simple-communication
elderly-care,Elderly Care,노인 요양,"minimalism,flat-design,accessibility-first,neumorphism",elderly-care-comfort,"playful-sans,clean-sans,rounded-soft",tiny-fonts|low-contrast|complex-gestures|trendy-animations,low,large-text; high-contrast; simple-navigation; warmth>efficiency; accessibility-aaa
clinic,Clinic,의료 클리닉,"minimalism,flat-design,material-design,corporate-clean",clinic-professional,"playful-sans,clean-sans,modern-geometric",dark-themes|aggressive-red|playful-design|complex-forms,medium,trust-through-cleanliness; appointment-ease; doctor-profiles; patient-portal; accessible-information
pharmacy,Pharmacy,약국,"flat-design,minimalism,material-design,corporate-clean",pharmacy-health,"playful-sans,clean-sans,rounded-soft",dark-themes|aggressive-design|complex-animations|playful-fonts,medium,medication-clarity; search-first; prescription-ease; safety-warnings; health-information
dental,Dental,치과,"minimalism,neumorphism,flat-design,corporate-clean",dental-bright,"playful-sans,rounded-soft,modern-geometric",dark-themes|aggressive-red|clinical-sterile|complex-forms,low,smile-focused; appointment-ease; treatment-clarity; before-after; calming-atmosphere
veterinary,Veterinary,수의과,"flat-design,hand-drawn,minimalism,rounded-friendly",veterinary-nature,"rounded-soft,playful-sans,modern-geometric",clinical-sterile|dark-themes|aggressive-design|complex-medical-jargon,low,pet-friendly-tone; emergency-visibility; appointment-ease; species-specific; compassionate-design
florist,Florist,꽃집,"minimalism,editorial-magazine,organic,watercolor",florist-bloom,"editorial-serif,playful-sans,modern-geometric",dark-heavy|industrial-feel|aggressive-cta|data-tables,low,visual-beauty; seasonal-showcase; occasion-browsing; delivery-clarity; gift-messaging
bakery-cafe,Bakery/Cafe,베이커리/카페,"minimalism,warm-earth,editorial-magazine,hand-drawn",bakery-cafe-warm,"editorial-serif,playful-sans,rounded-soft",dark-corporate|neon-colors|complex-navigation|data-heavy,low,appetite-appeal; menu-simplicity; atmosphere-warmth; order-ease; artisan-feel
coffee-shop,Coffee Shop,커피숍,"minimalism,warm-earth,editorial-magazine",coffee-shop-roast,"editorial-serif,playful-sans,modern-geometric",neon-bright|corporate-sterile|complex-menus|aggressive-design,low,cozy-atmosphere; menu-clarity; origin-story; order-ahead; loyalty-simplicity
brewery-winery,Brewery/Winery,양조장/와이너리,"editorial-magazine,minimalism,dark-mode-first",brewery-winery-craft,"editorial-serif,impact-display,playful-sans",corporate-feel|neon-colors|childish-design|complex-checkout,low,craft-storytelling; product-showcase; tasting-notes; age-verification; venue-ambiance
airline,Airline,항공사,"minimalism,flat-design,material-design,corporate-clean",airline-sky,"modern-geometric,clean-sans,playful-sans",complex-booking|hidden-fees-ui|dark-only|experimental-layout,high,booking-efficiency; fare-comparison; seat-selection; status-clarity; mobile-boarding
news-media,News Media,뉴스 미디어,"editorial-magazine,minimalism,flat-design,typographic",news-media-bold,"editorial-serif,clean-sans,modern-geometric",autoplay-video|popup-overload|clickbait-layout|complex-navigation,high,headline-hierarchy; readability-first; section-clarity; breaking-news-prominence; source-credibility
magazine-blog,Magazine/Blog,매거진/블로그,"editorial-magazine,minimalism,typographic",magazine-blog-editorial,"editorial-serif,modern-geometric,playful-sans",cluttered-sidebar|popup-heavy|tiny-text|ad-overload,medium,reading-experience; visual-storytelling; category-navigation; author-identity; share-ability
freelance,Freelance,프리랜서,"minimalism,brutalism,editorial-magazine,glassmorphism",freelance-personal,"modern-geometric,editorial-serif,impact-display",corporate-template|cluttered-layout|stock-photos|generic-feel,low,personal-brand; work-showcase; skill-clarity; contact-ease; authentic-personality
consulting,Consulting,컨설팅,"minimalism,flat-design,corporate-clean,material-design",consulting-authority,"modern-geometric,clean-sans,editorial-serif",playful-design|neon-colors|casual-fonts|experimental-layout,medium,authority-credibility; case-study-impact; expertise-clarity; thought-leadership; contact-prominence
marketing-agency,Marketing Agency,마케팅 에이전시,"glassmorphism,mesh-gradient,minimalism,high-contrast",marketing-agency-impact,"modern-geometric,impact-display,playful-sans",conservative-layout|monochrome-only|text-heavy|dated-design,low,results-showcase; creative-proof; case-studies; team-personality; bold-first-impression
event-management,Event Management,이벤트 관리,"flat-design,minimalism,material-design,hand-drawn",event-management-festive,"modern-geometric,rounded-soft,playful-sans",monochrome|complex-forms|tiny-text|corporate-sterile,medium,date-prominence; visual-excitement; ticket-ease; lineup-clarity; countdown-urgency
conference,Conference,컨퍼런스,"minimalism,flat-design,high-contrast,glassmorphism",conference-professional,"modern-geometric,impact-display,clean-sans",cluttered-agenda|hidden-speakers|complex-registration|dated-design,medium,speaker-showcase; schedule-clarity; registration-flow; venue-info; networking-tools
membership,Membership,멤버십,"minimalism,flat-design,glassmorphism,material-design",membership-exclusive,"modern-geometric,playful-sans,rounded-soft",complex-tier-tables|hidden-benefits|aggressive-upsell|dark-only,low,tier-comparison; benefit-clarity; upgrade-incentive; community-value; easy-management
newsletter,Newsletter,뉴스레터,"editorial-magazine,minimalism,typographic,flat-design",newsletter-readable,"editorial-serif,modern-geometric,playful-sans",complex-signup|cluttered-archives|no-preview|aggressive-popups,low,subscribe-simplicity; content-preview; frequency-clarity; author-trust; archive-browsability
digital-products,Digital Products,디지털 제품,"minimalism,glassmorphism,flat-design,mesh-gradient",digital-products-modern,"modern-geometric,tech-mono,impact-display",physical-product-ui|complex-checkout|shipping-references|heavy-stock-photos,low,instant-access; preview-quality; license-clarity; download-simplicity; product-showcase
church-religion,Church/Religion,교회/종교,"minimalism,warm-earth,flat-design,neumorphism","creator-economy-warm,crypto-gold","playful-sans,editorial-serif,modern-geometric",dark-aggressive|neon-colors|complex-navigation|commercial-feel,low,welcoming-warmth; event-calendar; sermon-access; community-connection; accessible-information
sports,Sports,스포츠,"high-contrast,flat-design,dark-mode-first",sports-dynamic,"impact-display,modern-geometric,clean-sans",passive-design|muted-colors|serif-heavy|complex-navigation,high,live-scores; team-identity; stats-clarity; schedule-prominence; fan-engagement
museum,Museum,박물관,"editorial-magazine,minimalism,luxury-minimal,parallax-depth",museum-classic,"editorial-serif,modern-geometric,impact-display",cluttered-layout|commercial-feel|stock-photos|aggressive-cta,low,collection-showcase; visit-planning; exhibition-narrative; cultural-respect; accessibility-first
theater,Theater,극장,"editorial-magazine,dark-mode-first,minimalism,luxury-minimal",theater-dramatic,"editorial-serif,impact-display,modern-geometric",bright-corporate|cluttered-layout|stock-photos|complex-booking,low,show-showcase; seat-selection; dramatic-imagery; season-calendar; booking-ease
language-learning,Language Learning,언어 학습,"flat-design,minimalism,hand-drawn",language-learning-global,"rounded-soft,modern-geometric,playful-sans",text-walls|complex-grammar-tables|monochrome|no-audio-integration,medium,gamified-progress; bite-sized-lessons; streak-motivation; native-audio; cultural-context
coding-bootcamp,Coding Bootcamp,코딩 부트캠프,"minimalism,dark-mode-first,flat-design",coding-bootcamp-terminal,"tech-mono,modern-geometric,clean-sans",corporate-conservative|pastel-only|complex-curriculum|no-code-examples,medium,career-outcome; curriculum-clarity; student-success; hands-on-preview; community-proof
cybersecurity,Cybersecurity,사이버보안,"dark-mode-first,minimalism,flat-design",cybersecurity-shield,"tech-mono,clean-sans,modern-geometric",playful-design|bright-pastels|casual-fonts|decorative-elements,high,threat-visualization; alert-hierarchy; dashboard-density; real-time-monitoring; severity-coding
dev-tools,Dev Tools,개발자 도구,"dark-mode-first,minimalism,flat-design,brutalism",dev-tools-editor,"tech-mono,clean-sans,modern-geometric",marketing-fluff|stock-photos|complex-signup|non-technical-ui,high,code-first; documentation-clarity; api-reference; quick-start; developer-empathy
biotech,Biotech,바이오테크,"minimalism,flat-design,glassmorphism",biotech-molecular,"modern-geometric,clean-sans,playful-sans",playful-design|dark-gaming|aggressive-neon|casual-tone,high,data-integrity; research-clarity; pipeline-visualization; publication-trust; scientific-rigor
space-tech,Space Tech,우주 기술,"dark-mode-first,glassmorphism,parallax-depth,mesh-gradient",space-tech-cosmos,"tech-mono,modern-geometric,impact-display",bright-corporate|playful-fonts|cluttered-layout|retro-web,medium,awe-inspiration; mission-timeline; telemetry-clarity; visualization-impact; frontier-feel
architecture,Architecture,건축/인테리어,"minimalism,editorial-magazine,glassmorphism",architecture-concrete,"editorial-serif,modern-geometric,impact-display",cluttered-layout|neon-colors|cheap-stock|complex-navigation,low,project-showcase; spatial-photography; material-detail; clean-grid; portfolio-narrative
quantum-computing,Quantum Computing,양자 컴퓨팅,"dark-mode-first,glassmorphism,mesh-gradient,minimalism",quantum-computing-qubit,"tech-mono,modern-geometric,clean-sans",playful-illustration|bright-corporate|casual-design|retro-style,high,complexity-simplification; visualization-first; research-credibility; technical-precision; educational-layers
biohacking,Biohacking,바이오해킹,"dark-mode-first,minimalism,glassmorphism","productivity-dark,gaming-neon","tech-mono,modern-geometric,clean-sans",conservative-corporate|pastel-soft|traditional-medical|complex-forms,medium,data-tracking; protocol-clarity; metric-visualization; self-experiment; community-evidence
drone-fleet,Drone Fleet,드론 관리,"flat-design,dark-mode-first,minimalism,data-viz-first","productivity-dark,airline-sky","clean-sans,tech-mono,modern-geometric",decorative-design|playful-fonts|complex-animations|retro-style,high,map-centric; fleet-status; mission-planning; telemetry-real-time; alert-priority
generative-art,Generative Art,생성 미술,"dark-mode-first,glassmorphism,mesh-gradient,anti-design,parallax-depth","productivity-dark,social-media-vibrant","impact-display,tech-mono,modern-geometric",corporate-template|stock-photos|conservative-layout|text-heavy,low,art-first; parameter-exploration; gallery-immersion; process-transparency; collector-experience
spatial-computing,Spatial Computing,공간 컴퓨팅,"glassmorphism,dark-mode-first,mesh-gradient,parallax-depth","productivity-dark,analytics-dashboard-blue","modern-geometric,tech-mono,clean-sans",flat-2d-heavy|retro-web|cluttered-chrome|text-walls,medium,depth-awareness; gesture-friendly; spatial-hierarchy; immersive-preview; minimal-chrome
climate-tech,Climate Tech,기후 기술,"minimalism,flat-design,data-viz-first,warm-earth","ev-energy-green,analytics-dashboard-blue,sustainability-earth","modern-geometric,playful-sans,clean-sans",greenwashing-aesthetic|dark-gaming|neon-heavy|playful-overload,high,impact-metrics; data-transparency; actionable-insights; hopeful-urgency; scientific-backing
